,City,Country,Max Temp($^\circ$F),Current Weather,Lat,Lng,Hotel Name
0,Pimenta Bueno,BR,72.73,heavy intensity rain,-11.6725,-61.1936,Cristalina Palace Hotel
3,Hobart,AU,51.66,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
4,Chalette-Sur-Loing,FR,52.07,overcast clouds,48.0134,2.7359,ibis Montargis
6,Ishigaki,JP,73.53,mist,24.3448,124.1572,Hotel Peace Land Ishigakijima
8,New Norfolk,AU,51.3,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
9,Cidreira,BR,69.62,clear sky,-30.1811,-50.2056,Hotel Castelo
10,Guiyang,CN,50.49,mist,26.5833,106.7167,Guo Tai Hotel Guiyang
11,Pangkalanbuun,ID,73.27,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
12,Port Blair,IN,76.66,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
13,Atuona,PF,77.83,clear sky,-9.8,-139.0333,Villa Enata
15,Grand Baie,MU,70.27,scattered clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
16,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
17,Bredasdorp,ZA,62.44,light rain,-34.5322,20.0403,Bredasdorp Country Manor
19,Manavalakurichi,IN,77.2,moderate rain,8.1333,77.3,Jebinrio home
22,Ambon,ID,77.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
24,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
25,Mataura,NZ,70.95,overcast clouds,-46.1927,168.8643,Ellie's Villa
26,Cape Town,ZA,63.12,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
29,Tarakan,ID,76.5,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
32,Chuy,UY,62.2,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
34,Parga,GR,59.13,overcast clouds,39.2831,20.3964,Palatino Hotel
35,Denpasar,ID,78.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
36,Port Alfred,ZA,62.19,broken clouds,-33.5906,26.891,The Halyards Hotel & Spa
39,Winslow,US,50.18,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
40,San Luis,AR,78.03,overcast clouds,-33.295,-66.3356,Huarpes Hotel
41,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
42,Ushuaia,AR,55.02,light rain,-54.8,-68.3,Albatross Hotel
45,Victoria,HK,75.38,scattered clouds,22.2855,114.1577,Mini Central
52,Bluff,NZ,60.76,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
54,Rikitea,PF,74.97,overcast clouds,-23.1203,-134.9692,People ThankYou
55,Hasaki,JP,50.22,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
58,Ribeira Grande,PT,66.78,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
59,Amaigbo,NG,74.07,broken clouds,5.7892,7.8383,IKEMBA GUEST HOUSE
61,Illapel,CL,72.46,overcast clouds,-31.6308,-71.1653,Hotel Londres
62,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
