,City,Country,Lat,Lng,Max Temp($^\circ$F),Humidity,Cloudiness,Wind Speed,Current Weather
0,Pimenta Bueno,BR,-11.6725,-61.1936,72.73,89,96,1.79,heavy intensity rain
1,Samarai,PG,-10.6167,150.6667,84.99,72,50,12.97,scattered clouds
2,Anadyr,RU,64.75,177.4833,36.1,93,40,38.03,scattered clouds
3,Hobart,AU,-42.8794,147.3294,51.66,65,75,17.27,broken clouds
4,Chalette-Sur-Loing,FR,48.0134,2.7359,52.07,90,100,10.2,overcast clouds
5,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,84,20,8.05,few clouds
6,Ishigaki,JP,24.3448,124.1572,73.53,100,75,8.05,mist
7,Codrington,AU,-38.2667,141.9667,53.83,57,89,13.65,overcast clouds
8,New Norfolk,AU,-42.7826,147.0587,51.3,71,98,5.01,overcast clouds
9,Cidreira,BR,-30.1811,-50.2056,69.62,60,6,8.12,clear sky
10,Guiyang,CN,26.5833,106.7167,50.49,100,100,6.71,mist
11,Pangkalanbuun,ID,-2.6833,111.6167,73.27,95,100,1.86,overcast clouds
12,Port Blair,IN,11.6667,92.75,76.66,85,100,3.47,overcast clouds
13,Atuona,PF,-9.8,-139.0333,77.83,70,4,14.5,clear sky
14,Shache,CN,38.4167,77.2406,35.35,38,1,1.57,clear sky
15,Grand Baie,MU,-20.0182,57.5802,70.27,66,47,4.0,scattered clouds
16,Vaini,TO,-21.2,-175.2,77.16,88,40,6.91,scattered clouds
17,Bredasdorp,ZA,-34.5322,20.0403,62.44,80,73,7.2,light rain
18,Nome,US,64.5011,-165.4064,23.07,80,0,16.11,clear sky
19,Manavalakurichi,IN,8.1333,77.3,77.2,83,98,3.15,moderate rain
20,Kununurra,AU,-15.7667,128.7333,84.18,70,77,9.22,broken clouds
21,Tafresh,IR,34.692,50.013,41.67,33,0,2.89,clear sky
22,Ambon,ID,-3.6954,128.1814,77.14,94,20,5.75,few clouds
23,Aykhal,RU,66.0,111.5,-19.88,99,99,5.97,overcast clouds
24,Avarua,CK,-21.2078,-159.775,77.05,65,74,17.27,broken clouds
25,Mataura,NZ,-46.1927,168.8643,70.95,45,100,4.36,overcast clouds
26,Cape Town,ZA,-33.9258,18.4232,63.12,80,75,9.22,broken clouds
27,Georgetown,MY,5.4112,100.3354,80.24,93,20,2.3,few clouds
28,Oga,IT,46.4631,10.347,37.94,99,100,3.71,overcast clouds
29,Tarakan,ID,3.3,117.6333,76.5,100,40,1.14,scattered clouds
30,Kultuk,RU,51.7208,103.6956,29.71,76,100,6.13,overcast clouds
31,Severo-Kurilsk,RU,50.6789,156.125,34.7,77,93,17.29,light snow
32,Chuy,UY,-33.6971,-53.4616,62.2,62,0,6.91,clear sky
33,Ostrovnoy,RU,68.0531,39.5131,37.27,79,100,21.18,light rain
34,Parga,GR,39.2831,20.3964,59.13,79,100,4.03,overcast clouds
35,Denpasar,ID,-8.65,115.2167,78.46,88,20,1.14,few clouds
36,Port Alfred,ZA,-33.5906,26.891,62.19,88,81,4.0,broken clouds
37,Griffith,US,41.5284,-87.4237,37.33,90,100,0.0,overcast clouds
38,Hithadhoo,MV,-0.6,73.0833,81.36,77,84,15.12,broken clouds
39,Winslow,US,35.0242,-110.6974,50.18,25,0,11.5,clear sky
40,San Luis,AR,-33.295,-66.3356,78.03,27,94,10.83,overcast clouds
